accession	accession_version	database	sra_accessions	strain	region	location	date	date_released	date_updated	length	host	is_lab_host	sample_type	biosample_accessions	full_authors	institution	submitter_country	country	division	authors
PQ630023	PQ630023.1	GenBank		UKN21_OC43_15	Europe		2021-09-12	2024-12-11	2024-12-11	30138	Homo sapiens		swab		McClure,P.,Tsoleridis,T.,Holmes,N.,Hill,J.D.,Chappell,J.,Byaruhanga,T.,Duncan,J.,Tofan,M.,Khater,A.,Berry,L.,Clark,G.,Irving,W.L.,Tarr,A.W.,Ball,J.K.,Astbury,S.,Loose,M.	University of Nottingham, Wolfson Centre for Global Virus Research	United Kingdom	United Kingdom		McClure et al.
PQ630024	PQ630024.1	GenBank		UKN21_OC43_14	Europe		2021-09-12	2024-12-11	2024-12-11	30138	Homo sapiens		swab		McClure,P.,Tsoleridis,T.,Holmes,N.,Hill,J.D.,Chappell,J.,Byaruhanga,T.,Duncan,J.,Tofan,M.,Khater,A.,Berry,L.,Clark,G.,Irving,W.L.,Tarr,A.W.,Ball,J.K.,Astbury,S.,Loose,M.	University of Nottingham, Wolfson Centre for Global Virus Research	United Kingdom	United Kingdom		McClure et al.
PQ630025	PQ630025.1	GenBank		UKN21_OC43_13	Europe		2021-03-12	2024-12-11	2024-12-11	30138	Homo sapiens		oronasopharynx		McClure,P.,Tsoleridis,T.,Holmes,N.,Hill,J.D.,Chappell,J.,Byaruhanga,T.,Duncan,J.,Tofan,M.,Khater,A.,Berry,L.,Clark,G.,Irving,W.L.,Tarr,A.W.,Ball,J.K.,Astbury,S.,Loose,M.	University of Nottingham, Wolfson Centre for Global Virus Research	United Kingdom	United Kingdom		McClure et al.
PQ630026	PQ630026.1	GenBank		UKN21_OC43_12	Europe		2021-11-26	2024-12-11	2024-12-11	30138	Homo sapiens		swab, oronasopharynx		McClure,P.,Tsoleridis,T.,Holmes,N.,Hill,J.D.,Chappell,J.,Byaruhanga,T.,Duncan,J.,Tofan,M.,Khater,A.,Berry,L.,Clark,G.,Irving,W.L.,Tarr,A.W.,Ball,J.K.,Astbury,S.,Loose,M.	University of Nottingham, Wolfson Centre for Global Virus Research	United Kingdom	United Kingdom		McClure et al.
PQ630027	PQ630027.1	GenBank		UKN21_OC43_11	Europe		2021-11-17	2024-12-11	2024-12-11	30132	Homo sapiens		swab		McClure,P.,Tsoleridis,T.,Holmes,N.,Hill,J.D.,Chappell,J.,Byaruhanga,T.,Duncan,J.,Tofan,M.,Khater,A.,Berry,L.,Clark,G.,Irving,W.L.,Tarr,A.W.,Ball,J.K.,Astbury,S.,Loose,M.	University of Nottingham, Wolfson Centre for Global Virus Research	United Kingdom	United Kingdom		McClure et al.
PQ630028	PQ630028.1	GenBank		UKN21_OC43_10	Europe		2021-11-16	2024-12-11	2024-12-11	30141	Homo sapiens		swab		McClure,P.,Tsoleridis,T.,Holmes,N.,Hill,J.D.,Chappell,J.,Byaruhanga,T.,Duncan,J.,Tofan,M.,Khater,A.,Berry,L.,Clark,G.,Irving,W.L.,Tarr,A.W.,Ball,J.K.,Astbury,S.,Loose,M.	University of Nottingham, Wolfson Centre for Global Virus Research	United Kingdom	United Kingdom		McClure et al.
PQ630029	PQ630029.1	GenBank		UKN21_OC43_9	Europe		2021-11-16	2024-12-11	2024-12-11	30141	Homo sapiens				McClure,P.,Tsoleridis,T.,Holmes,N.,Hill,J.D.,Chappell,J.,Byaruhanga,T.,Duncan,J.,Tofan,M.,Khater,A.,Berry,L.,Clark,G.,Irving,W.L.,Tarr,A.W.,Ball,J.K.,Astbury,S.,Loose,M.	University of Nottingham, Wolfson Centre for Global Virus Research	United Kingdom	United Kingdom		McClure et al.
PQ630030	PQ630030.1	GenBank		UKN21_OC43_8	Europe		2021-11-15	2024-12-11	2024-12-11	30141	Homo sapiens				McClure,P.,Tsoleridis,T.,Holmes,N.,Hill,J.D.,Chappell,J.,Byaruhanga,T.,Duncan,J.,Tofan,M.,Khater,A.,Berry,L.,Clark,G.,Irving,W.L.,Tarr,A.W.,Ball,J.K.,Astbury,S.,Loose,M.	University of Nottingham, Wolfson Centre for Global Virus Research	United Kingdom	United Kingdom		McClure et al.
PQ630031	PQ630031.1	GenBank		UKN21_OC43_7	Europe		2021-10-29	2024-12-11	2024-12-11	30141	Homo sapiens		swab		McClure,P.,Tsoleridis,T.,Holmes,N.,Hill,J.D.,Chappell,J.,Byaruhanga,T.,Duncan,J.,Tofan,M.,Khater,A.,Berry,L.,Clark,G.,Irving,W.L.,Tarr,A.W.,Ball,J.K.,Astbury,S.,Loose,M.	University of Nottingham, Wolfson Centre for Global Virus Research	United Kingdom	United Kingdom		McClure et al.
PQ630032	PQ630032.1	GenBank		UKN21_OC43_6	Europe		2021-10-26	2024-12-11	2024-12-11	30138	Homo sapiens		oronasopharynx		McClure,P.,Tsoleridis,T.,Holmes,N.,Hill,J.D.,Chappell,J.,Byaruhanga,T.,Duncan,J.,Tofan,M.,Khater,A.,Berry,L.,Clark,G.,Irving,W.L.,Tarr,A.W.,Ball,J.K.,Astbury,S.,Loose,M.	University of Nottingham, Wolfson Centre for Global Virus Research	United Kingdom	United Kingdom		McClure et al.
PQ630033	PQ630033.1	GenBank		UKN21_OC43_5	Europe		2021-10-20	2024-12-11	2024-12-11	30138	Homo sapiens		swab, oronasopharynx		McClure,P.,Tsoleridis,T.,Holmes,N.,Hill,J.D.,Chappell,J.,Byaruhanga,T.,Duncan,J.,Tofan,M.,Khater,A.,Berry,L.,Clark,G.,Irving,W.L.,Tarr,A.W.,Ball,J.K.,Astbury,S.,Loose,M.	University of Nottingham, Wolfson Centre for Global Virus Research	United Kingdom	United Kingdom		McClure et al.
PQ630034	PQ630034.1	GenBank		UKN21_OC43_4	Europe		2021-09-21	2024-12-11	2024-12-11	30135	Homo sapiens		oronasopharynx		McClure,P.,Tsoleridis,T.,Holmes,N.,Hill,J.D.,Chappell,J.,Byaruhanga,T.,Duncan,J.,Tofan,M.,Khater,A.,Berry,L.,Clark,G.,Irving,W.L.,Tarr,A.W.,Ball,J.K.,Astbury,S.,Loose,M.	University of Nottingham, Wolfson Centre for Global Virus Research	United Kingdom	United Kingdom		McClure et al.
PQ630035	PQ630035.1	GenBank		UKN21_OC43_3	Europe		2021-06-09	2024-12-11	2024-12-11	30132	Homo sapiens		oronasopharynx		McClure,P.,Tsoleridis,T.,Holmes,N.,Hill,J.D.,Chappell,J.,Byaruhanga,T.,Duncan,J.,Tofan,M.,Khater,A.,Berry,L.,Clark,G.,Irving,W.L.,Tarr,A.W.,Ball,J.K.,Astbury,S.,Loose,M.	University of Nottingham, Wolfson Centre for Global Virus Research	United Kingdom	United Kingdom		McClure et al.
PQ630036	PQ630036.1	GenBank		UKN21_OC43_2	Europe		2021-02-09	2024-12-11	2024-12-11	30138	Homo sapiens		oronasopharynx		McClure,P.,Tsoleridis,T.,Holmes,N.,Hill,J.D.,Chappell,J.,Byaruhanga,T.,Duncan,J.,Tofan,M.,Khater,A.,Berry,L.,Clark,G.,Irving,W.L.,Tarr,A.W.,Ball,J.K.,Astbury,S.,Loose,M.	University of Nottingham, Wolfson Centre for Global Virus Research	United Kingdom	United Kingdom		McClure et al.
PQ630037	PQ630037.1	GenBank		UKN21_OC43_1	Europe		2021-08-26	2024-12-11	2024-12-11	30138	Homo sapiens		lung		McClure,P.,Tsoleridis,T.,Holmes,N.,Hill,J.D.,Chappell,J.,Byaruhanga,T.,Duncan,J.,Tofan,M.,Khater,A.,Berry,L.,Clark,G.,Irving,W.L.,Tarr,A.W.,Ball,J.K.,Astbury,S.,Loose,M.	University of Nottingham, Wolfson Centre for Global Virus Research	United Kingdom	United Kingdom		McClure et al.
PQ630038	PQ630038.1	GenBank		UKN18_OC43_77	Europe		2018-06-27	2024-12-11	2024-12-11	30138	Homo sapiens		swab, oronasopharynx		McClure,P.,Tsoleridis,T.,Holmes,N.,Hill,J.D.,Chappell,J.,Byaruhanga,T.,Duncan,J.,Tofan,M.,Khater,A.,Berry,L.,Clark,G.,Irving,W.L.,Tarr,A.W.,Ball,J.K.,Astbury,S.,Loose,M.	University of Nottingham, Wolfson Centre for Global Virus Research	United Kingdom	United Kingdom		McClure et al.
PQ630039	PQ630039.1	GenBank		UKN18_OC43_76	Europe		2018-04-06	2024-12-11	2024-12-11	30138	Homo sapiens		swab, oronasopharynx		McClure,P.,Tsoleridis,T.,Holmes,N.,Hill,J.D.,Chappell,J.,Byaruhanga,T.,Duncan,J.,Tofan,M.,Khater,A.,Berry,L.,Clark,G.,Irving,W.L.,Tarr,A.W.,Ball,J.K.,Astbury,S.,Loose,M.	University of Nottingham, Wolfson Centre for Global Virus Research	United Kingdom	United Kingdom		McClure et al.
PQ630040	PQ630040.1	GenBank		UKN18_OC43_75	Europe		2018-05-18	2024-12-11	2024-12-11	30138	Homo sapiens		swab, oronasopharynx		McClure,P.,Tsoleridis,T.,Holmes,N.,Hill,J.D.,Chappell,J.,Byaruhanga,T.,Duncan,J.,Tofan,M.,Khater,A.,Berry,L.,Clark,G.,Irving,W.L.,Tarr,A.W.,Ball,J.K.,Astbury,S.,Loose,M.	University of Nottingham, Wolfson Centre for Global Virus Research	United Kingdom	United Kingdom		McClure et al.
PQ630041	PQ630041.1	GenBank		UKN18_OC43_74	Europe		2018-04-05	2024-12-11	2024-12-11	30138	Homo sapiens		oronasopharynx		McClure,P.,Tsoleridis,T.,Holmes,N.,Hill,J.D.,Chappell,J.,Byaruhanga,T.,Duncan,J.,Tofan,M.,Khater,A.,Berry,L.,Clark,G.,Irving,W.L.,Tarr,A.W.,Ball,J.K.,Astbury,S.,Loose,M.	University of Nottingham, Wolfson Centre for Global Virus Research	United Kingdom	United Kingdom		McClure et al.
PQ630042	PQ630042.1	GenBank		UKN18_OC43_73	Europe		2018-04-17	2024-12-11	2024-12-11	27046	Homo sapiens		swab, oronasopharynx		McClure,P.,Tsoleridis,T.,Holmes,N.,Hill,J.D.,Chappell,J.,Byaruhanga,T.,Duncan,J.,Tofan,M.,Khater,A.,Berry,L.,Clark,G.,Irving,W.L.,Tarr,A.W.,Ball,J.K.,Astbury,S.,Loose,M.	University of Nottingham, Wolfson Centre for Global Virus Research	United Kingdom	United Kingdom		McClure et al.
PQ630043	PQ630043.1	GenBank		UKN18_OC43_72	Europe		2018-04-17	2024-12-11	2024-12-11	30138	Homo sapiens		swab, oronasopharynx		McClure,P.,Tsoleridis,T.,Holmes,N.,Hill,J.D.,Chappell,J.,Byaruhanga,T.,Duncan,J.,Tofan,M.,Khater,A.,Berry,L.,Clark,G.,Irving,W.L.,Tarr,A.W.,Ball,J.K.,Astbury,S.,Loose,M.	University of Nottingham, Wolfson Centre for Global Virus Research	United Kingdom	United Kingdom		McClure et al.
PQ630044	PQ630044.1	GenBank		UKN18_OC43_71	Europe		2018-04-15	2024-12-11	2024-12-11	29510	Homo sapiens		swab, oronasopharynx		McClure,P.,Tsoleridis,T.,Holmes,N.,Hill,J.D.,Chappell,J.,Byaruhanga,T.,Duncan,J.,Tofan,M.,Khater,A.,Berry,L.,Clark,G.,Irving,W.L.,Tarr,A.W.,Ball,J.K.,Astbury,S.,Loose,M.	University of Nottingham, Wolfson Centre for Global Virus Research	United Kingdom	United Kingdom		McClure et al.
PQ630045	PQ630045.1	GenBank		UKN18_OC43_70	Europe		2018-03-28	2024-12-11	2024-12-11	30138	Homo sapiens		swab, oronasopharynx		McClure,P.,Tsoleridis,T.,Holmes,N.,Hill,J.D.,Chappell,J.,Byaruhanga,T.,Duncan,J.,Tofan,M.,Khater,A.,Berry,L.,Clark,G.,Irving,W.L.,Tarr,A.W.,Ball,J.K.,Astbury,S.,Loose,M.	University of Nottingham, Wolfson Centre for Global Virus Research	United Kingdom	United Kingdom		McClure et al.
PQ630046	PQ630046.1	GenBank		UKN18_OC43_69	Europe		2018-03-24	2024-12-11	2024-12-11	30138	Homo sapiens		swab, oronasopharynx		McClure,P.,Tsoleridis,T.,Holmes,N.,Hill,J.D.,Chappell,J.,Byaruhanga,T.,Duncan,J.,Tofan,M.,Khater,A.,Berry,L.,Clark,G.,Irving,W.L.,Tarr,A.W.,Ball,J.K.,Astbury,S.,Loose,M.	University of Nottingham, Wolfson Centre for Global Virus Research	United Kingdom	United Kingdom		McClure et al.
PQ630047	PQ630047.1	GenBank		UKN18_OC43_68	Europe		2018-03-24	2024-12-11	2024-12-11	27055	Homo sapiens		swab, oronasopharynx		McClure,P.,Tsoleridis,T.,Holmes,N.,Hill,J.D.,Chappell,J.,Byaruhanga,T.,Duncan,J.,Tofan,M.,Khater,A.,Berry,L.,Clark,G.,Irving,W.L.,Tarr,A.W.,Ball,J.K.,Astbury,S.,Loose,M.	University of Nottingham, Wolfson Centre for Global Virus Research	United Kingdom	United Kingdom		McClure et al.
PQ630048	PQ630048.1	GenBank		UKN18_OC43_67	Europe		2018-03-16	2024-12-11	2024-12-11	29492	Homo sapiens		swab, oronasopharynx		McClure,P.,Tsoleridis,T.,Holmes,N.,Hill,J.D.,Chappell,J.,Byaruhanga,T.,Duncan,J.,Tofan,M.,Khater,A.,Berry,L.,Clark,G.,Irving,W.L.,Tarr,A.W.,Ball,J.K.,Astbury,S.,Loose,M.	University of Nottingham, Wolfson Centre for Global Virus Research	United Kingdom	United Kingdom		McClure et al.
PQ630049	PQ630049.1	GenBank		UKN18_OC43_66	Europe		2018-11-03	2024-12-11	2024-12-11	30138	Homo sapiens		swab, oronasopharynx		McClure,P.,Tsoleridis,T.,Holmes,N.,Hill,J.D.,Chappell,J.,Byaruhanga,T.,Duncan,J.,Tofan,M.,Khater,A.,Berry,L.,Clark,G.,Irving,W.L.,Tarr,A.W.,Ball,J.K.,Astbury,S.,Loose,M.	University of Nottingham, Wolfson Centre for Global Virus Research	United Kingdom	United Kingdom		McClure et al.
PQ630050	PQ630050.1	GenBank		UKN18_OC43_65	Europe		2018-02-22	2024-12-11	2024-12-11	30138	Homo sapiens		swab, oronasopharynx		McClure,P.,Tsoleridis,T.,Holmes,N.,Hill,J.D.,Chappell,J.,Byaruhanga,T.,Duncan,J.,Tofan,M.,Khater,A.,Berry,L.,Clark,G.,Irving,W.L.,Tarr,A.W.,Ball,J.K.,Astbury,S.,Loose,M.	University of Nottingham, Wolfson Centre for Global Virus Research	United Kingdom	United Kingdom		McClure et al.
PQ630051	PQ630051.1	GenBank		UKN18_OC43_64	Europe		2018-02-21	2024-12-11	2024-12-11	30138	Homo sapiens		swab, oronasopharynx		McClure,P.,Tsoleridis,T.,Holmes,N.,Hill,J.D.,Chappell,J.,Byaruhanga,T.,Duncan,J.,Tofan,M.,Khater,A.,Berry,L.,Clark,G.,Irving,W.L.,Tarr,A.W.,Ball,J.K.,Astbury,S.,Loose,M.	University of Nottingham, Wolfson Centre for Global Virus Research	United Kingdom	United Kingdom		McClure et al.
PQ630052	PQ630052.1	GenBank		UKN18_OC43_63	Europe		2018-02-20	2024-12-11	2024-12-11	30138	Homo sapiens		swab, oronasopharynx		McClure,P.,Tsoleridis,T.,Holmes,N.,Hill,J.D.,Chappell,J.,Byaruhanga,T.,Duncan,J.,Tofan,M.,Khater,A.,Berry,L.,Clark,G.,Irving,W.L.,Tarr,A.W.,Ball,J.K.,Astbury,S.,Loose,M.	University of Nottingham, Wolfson Centre for Global Virus Research	United Kingdom	United Kingdom		McClure et al.
PQ630053	PQ630053.1	GenBank		UKN18_OC43_62	Europe		2018-02-19	2024-12-11	2024-12-11	30138	Homo sapiens		swab, oronasopharynx		McClure,P.,Tsoleridis,T.,Holmes,N.,Hill,J.D.,Chappell,J.,Byaruhanga,T.,Duncan,J.,Tofan,M.,Khater,A.,Berry,L.,Clark,G.,Irving,W.L.,Tarr,A.W.,Ball,J.K.,Astbury,S.,Loose,M.	University of Nottingham, Wolfson Centre for Global Virus Research	United Kingdom	United Kingdom		McClure et al.
PQ630054	PQ630054.1	GenBank		UKN18_OC43_61	Europe		2018-02-15	2024-12-11	2024-12-11	28066	Homo sapiens		swab, oronasopharynx		McClure,P.,Tsoleridis,T.,Holmes,N.,Hill,J.D.,Chappell,J.,Byaruhanga,T.,Duncan,J.,Tofan,M.,Khater,A.,Berry,L.,Clark,G.,Irving,W.L.,Tarr,A.W.,Ball,J.K.,Astbury,S.,Loose,M.	University of Nottingham, Wolfson Centre for Global Virus Research	United Kingdom	United Kingdom		McClure et al.
PQ630055	PQ630055.1	GenBank		UKN18_OC43_60	Europe		2018-02-13	2024-12-11	2024-12-11	30138	Homo sapiens		swab, oronasopharynx		McClure,P.,Tsoleridis,T.,Holmes,N.,Hill,J.D.,Chappell,J.,Byaruhanga,T.,Duncan,J.,Tofan,M.,Khater,A.,Berry,L.,Clark,G.,Irving,W.L.,Tarr,A.W.,Ball,J.K.,Astbury,S.,Loose,M.	University of Nottingham, Wolfson Centre for Global Virus Research	United Kingdom	United Kingdom		McClure et al.
PQ630056	PQ630056.1	GenBank		UKN18_OC43_59	Europe		2018-02-13	2024-12-11	2024-12-11	30126	Homo sapiens		swab, oronasopharynx		McClure,P.,Tsoleridis,T.,Holmes,N.,Hill,J.D.,Chappell,J.,Byaruhanga,T.,Duncan,J.,Tofan,M.,Khater,A.,Berry,L.,Clark,G.,Irving,W.L.,Tarr,A.W.,Ball,J.K.,Astbury,S.,Loose,M.	University of Nottingham, Wolfson Centre for Global Virus Research	United Kingdom	United Kingdom		McClure et al.
PQ630057	PQ630057.1	GenBank		UKN18_OC43_58	Europe		2018-02-13	2024-12-11	2024-12-11	30138	Homo sapiens		swab, oronasopharynx		McClure,P.,Tsoleridis,T.,Holmes,N.,Hill,J.D.,Chappell,J.,Byaruhanga,T.,Duncan,J.,Tofan,M.,Khater,A.,Berry,L.,Clark,G.,Irving,W.L.,Tarr,A.W.,Ball,J.K.,Astbury,S.,Loose,M.	University of Nottingham, Wolfson Centre for Global Virus Research	United Kingdom	United Kingdom		McClure et al.
PQ630058	PQ630058.1	GenBank		UKN18_OC43_57	Europe		2018-12-02	2024-12-11	2024-12-11	30138	Homo sapiens		swab, oronasopharynx		McClure,P.,Tsoleridis,T.,Holmes,N.,Hill,J.D.,Chappell,J.,Byaruhanga,T.,Duncan,J.,Tofan,M.,Khater,A.,Berry,L.,Clark,G.,Irving,W.L.,Tarr,A.W.,Ball,J.K.,Astbury,S.,Loose,M.	University of Nottingham, Wolfson Centre for Global Virus Research	United Kingdom	United Kingdom		McClure et al.
PQ630059	PQ630059.1	GenBank		UKN18_OC43_56	Europe		2018-08-02	2024-12-11	2024-12-11	30141	Homo sapiens		swab, oronasopharynx		McClure,P.,Tsoleridis,T.,Holmes,N.,Hill,J.D.,Chappell,J.,Byaruhanga,T.,Duncan,J.,Tofan,M.,Khater,A.,Berry,L.,Clark,G.,Irving,W.L.,Tarr,A.W.,Ball,J.K.,Astbury,S.,Loose,M.	University of Nottingham, Wolfson Centre for Global Virus Research	United Kingdom	United Kingdom		McClure et al.
PQ630060	PQ630060.1	GenBank		UKN18_OC43_55	Europe		2018-06-02	2024-12-11	2024-12-11	27055	Homo sapiens		swab, oronasopharynx		McClure,P.,Tsoleridis,T.,Holmes,N.,Hill,J.D.,Chappell,J.,Byaruhanga,T.,Duncan,J.,Tofan,M.,Khater,A.,Berry,L.,Clark,G.,Irving,W.L.,Tarr,A.W.,Ball,J.K.,Astbury,S.,Loose,M.	University of Nottingham, Wolfson Centre for Global Virus Research	United Kingdom	United Kingdom		McClure et al.
PQ630061	PQ630061.1	GenBank		UKN18_OC43_54	Europe		2018-06-02	2024-12-11	2024-12-11	28057	Homo sapiens		swab, oronasopharynx		McClure,P.,Tsoleridis,T.,Holmes,N.,Hill,J.D.,Chappell,J.,Byaruhanga,T.,Duncan,J.,Tofan,M.,Khater,A.,Berry,L.,Clark,G.,Irving,W.L.,Tarr,A.W.,Ball,J.K.,Astbury,S.,Loose,M.	University of Nottingham, Wolfson Centre for Global Virus Research	United Kingdom	United Kingdom		McClure et al.
PQ630062	PQ630062.1	GenBank		UKN18_OC43_53	Europe		2018-06-02	2024-12-11	2024-12-11	28542	Homo sapiens		swab, oronasopharynx		McClure,P.,Tsoleridis,T.,Holmes,N.,Hill,J.D.,Chappell,J.,Byaruhanga,T.,Duncan,J.,Tofan,M.,Khater,A.,Berry,L.,Clark,G.,Irving,W.L.,Tarr,A.W.,Ball,J.K.,Astbury,S.,Loose,M.	University of Nottingham, Wolfson Centre for Global Virus Research	United Kingdom	United Kingdom		McClure et al.
PQ630063	PQ630063.1	GenBank		UKN18_OC43_52	Europe		2018-02-02	2024-12-11	2024-12-11	30138	Homo sapiens		swab, oronasopharynx		McClure,P.,Tsoleridis,T.,Holmes,N.,Hill,J.D.,Chappell,J.,Byaruhanga,T.,Duncan,J.,Tofan,M.,Khater,A.,Berry,L.,Clark,G.,Irving,W.L.,Tarr,A.W.,Ball,J.K.,Astbury,S.,Loose,M.	University of Nottingham, Wolfson Centre for Global Virus Research	United Kingdom	United Kingdom		McClure et al.
PQ630064	PQ630064.1	GenBank		UKN18_OC43_51	Europe		2018-01-02	2024-12-11	2024-12-11	29039	Homo sapiens		swab, oronasopharynx		McClure,P.,Tsoleridis,T.,Holmes,N.,Hill,J.D.,Chappell,J.,Byaruhanga,T.,Duncan,J.,Tofan,M.,Khater,A.,Berry,L.,Clark,G.,Irving,W.L.,Tarr,A.W.,Ball,J.K.,Astbury,S.,Loose,M.	University of Nottingham, Wolfson Centre for Global Virus Research	United Kingdom	United Kingdom		McClure et al.
PQ630065	PQ630065.1	GenBank		UKN18_OC43_50	Europe		2018-01-30	2024-12-11	2024-12-11	30138	Homo sapiens		swab, oronasopharynx		McClure,P.,Tsoleridis,T.,Holmes,N.,Hill,J.D.,Chappell,J.,Byaruhanga,T.,Duncan,J.,Tofan,M.,Khater,A.,Berry,L.,Clark,G.,Irving,W.L.,Tarr,A.W.,Ball,J.K.,Astbury,S.,Loose,M.	University of Nottingham, Wolfson Centre for Global Virus Research	United Kingdom	United Kingdom		McClure et al.
PQ630066	PQ630066.1	GenBank		UKN18_OC43_49	Europe		2018-01-30	2024-12-11	2024-12-11	30126	Homo sapiens		swab, oronasopharynx		McClure,P.,Tsoleridis,T.,Holmes,N.,Hill,J.D.,Chappell,J.,Byaruhanga,T.,Duncan,J.,Tofan,M.,Khater,A.,Berry,L.,Clark,G.,Irving,W.L.,Tarr,A.W.,Ball,J.K.,Astbury,S.,Loose,M.	University of Nottingham, Wolfson Centre for Global Virus Research	United Kingdom	United Kingdom		McClure et al.
PQ630067	PQ630067.1	GenBank		UKN18_OC43_48	Europe		2018-01-25	2024-12-11	2024-12-11	30138	Homo sapiens		oronasopharynx		McClure,P.,Tsoleridis,T.,Holmes,N.,Hill,J.D.,Chappell,J.,Byaruhanga,T.,Duncan,J.,Tofan,M.,Khater,A.,Berry,L.,Clark,G.,Irving,W.L.,Tarr,A.W.,Ball,J.K.,Astbury,S.,Loose,M.	University of Nottingham, Wolfson Centre for Global Virus Research	United Kingdom	United Kingdom		McClure et al.
PQ630068	PQ630068.1	GenBank		UKN18_OC43_47	Europe		2018-01-25	2024-12-11	2024-12-11	30126	Homo sapiens		swab, oronasopharynx		McClure,P.,Tsoleridis,T.,Holmes,N.,Hill,J.D.,Chappell,J.,Byaruhanga,T.,Duncan,J.,Tofan,M.,Khater,A.,Berry,L.,Clark,G.,Irving,W.L.,Tarr,A.W.,Ball,J.K.,Astbury,S.,Loose,M.	University of Nottingham, Wolfson Centre for Global Virus Research	United Kingdom	United Kingdom		McClure et al.
PQ630069	PQ630069.1	GenBank		UKN18_OC43_46	Europe		2018-01-24	2024-12-11	2024-12-11	30138	Homo sapiens		swab, oronasopharynx		McClure,P.,Tsoleridis,T.,Holmes,N.,Hill,J.D.,Chappell,J.,Byaruhanga,T.,Duncan,J.,Tofan,M.,Khater,A.,Berry,L.,Clark,G.,Irving,W.L.,Tarr,A.W.,Ball,J.K.,Astbury,S.,Loose,M.	University of Nottingham, Wolfson Centre for Global Virus Research	United Kingdom	United Kingdom		McClure et al.
PQ630070	PQ630070.1	GenBank		UKN18_OC43_45	Europe		2018-01-25	2024-12-11	2024-12-11	30147	Homo sapiens		swab, oronasopharynx		McClure,P.,Tsoleridis,T.,Holmes,N.,Hill,J.D.,Chappell,J.,Byaruhanga,T.,Duncan,J.,Tofan,M.,Khater,A.,Berry,L.,Clark,G.,Irving,W.L.,Tarr,A.W.,Ball,J.K.,Astbury,S.,Loose,M.	University of Nottingham, Wolfson Centre for Global Virus Research	United Kingdom	United Kingdom		McClure et al.
PQ630071	PQ630071.1	GenBank		UKN18_OC43_44	Europe		2018-01-23	2024-12-11	2024-12-11	30148	Homo sapiens		swab, oronasopharynx		McClure,P.,Tsoleridis,T.,Holmes,N.,Hill,J.D.,Chappell,J.,Byaruhanga,T.,Duncan,J.,Tofan,M.,Khater,A.,Berry,L.,Clark,G.,Irving,W.L.,Tarr,A.W.,Ball,J.K.,Astbury,S.,Loose,M.	University of Nottingham, Wolfson Centre for Global Virus Research	United Kingdom	United Kingdom		McClure et al.
PQ630072	PQ630072.1	GenBank		UKN18_OC43_43	Europe		2018-01-23	2024-12-11	2024-12-11	30147	Homo sapiens		oronasopharynx		McClure,P.,Tsoleridis,T.,Holmes,N.,Hill,J.D.,Chappell,J.,Byaruhanga,T.,Duncan,J.,Tofan,M.,Khater,A.,Berry,L.,Clark,G.,Irving,W.L.,Tarr,A.W.,Ball,J.K.,Astbury,S.,Loose,M.	University of Nottingham, Wolfson Centre for Global Virus Research	United Kingdom	United Kingdom		McClure et al.
PQ630073	PQ630073.1	GenBank		UKN18_OC43_42	Europe		2018-01-23	2024-12-11	2024-12-11	30141	Homo sapiens		swab, oronasopharynx		McClure,P.,Tsoleridis,T.,Holmes,N.,Hill,J.D.,Chappell,J.,Byaruhanga,T.,Duncan,J.,Tofan,M.,Khater,A.,Berry,L.,Clark,G.,Irving,W.L.,Tarr,A.W.,Ball,J.K.,Astbury,S.,Loose,M.	University of Nottingham, Wolfson Centre for Global Virus Research	United Kingdom	United Kingdom		McClure et al.
PQ630074	PQ630074.1	GenBank		UKN18_OC43_41	Europe		2018-01-23	2024-12-11	2024-12-11	30138	Homo sapiens		swab, oronasopharynx		McClure,P.,Tsoleridis,T.,Holmes,N.,Hill,J.D.,Chappell,J.,Byaruhanga,T.,Duncan,J.,Tofan,M.,Khater,A.,Berry,L.,Clark,G.,Irving,W.L.,Tarr,A.W.,Ball,J.K.,Astbury,S.,Loose,M.	University of Nottingham, Wolfson Centre for Global Virus Research	United Kingdom	United Kingdom		McClure et al.
PQ630075	PQ630075.1	GenBank		UKN18_OC43_40	Europe		2018-01-22	2024-12-11	2024-12-11	28058	Homo sapiens		swab, oronasopharynx		McClure,P.,Tsoleridis,T.,Holmes,N.,Hill,J.D.,Chappell,J.,Byaruhanga,T.,Duncan,J.,Tofan,M.,Khater,A.,Berry,L.,Clark,G.,Irving,W.L.,Tarr,A.W.,Ball,J.K.,Astbury,S.,Loose,M.	University of Nottingham, Wolfson Centre for Global Virus Research	United Kingdom	United Kingdom		McClure et al.
PQ630076	PQ630076.1	GenBank		UKN18_OC43_39	Europe		2018-01-21	2024-12-11	2024-12-11	29498	Homo sapiens		oronasopharynx		McClure,P.,Tsoleridis,T.,Holmes,N.,Hill,J.D.,Chappell,J.,Byaruhanga,T.,Duncan,J.,Tofan,M.,Khater,A.,Berry,L.,Clark,G.,Irving,W.L.,Tarr,A.W.,Ball,J.K.,Astbury,S.,Loose,M.	University of Nottingham, Wolfson Centre for Global Virus Research	United Kingdom	United Kingdom		McClure et al.
