accession	accession_version	database	sra_accessions	strain	region	location	date	date_released	date_updated	length	host	is_lab_host	sample_type	biosample_accessions	full_authors	institution	submitter_country	country	division	authors
DQ355402	DQ355402.1	GenBank		DQ355402	Europe		XXXX-XX-XX	2006-08-01	2016-07-26	2653					Vabret,A.,Dina,J.,Mourez,T.,Gouarin,S.,Petitjean,J.,van der Werf,S.,Freymuth,F.	University Hospital of Caen, Laboratory of Virology	France	France	Normandie	Vabret et al.
DQ355403	DQ355403.1	GenBank		DQ355403	Europe		XXXX-XX-XX	2006-08-01	2016-07-26	2650					Vabret,A.,Dina,J.,Mourez,T.,Gouarin,S.,Petitjean,J.,van der Werf,S.,Freymuth,F.	University Hospital of Caen, Laboratory of Virology	France	France	Normandie	Vabret et al.
DQ355404	DQ355404.1	GenBank		DQ355404	Europe		XXXX-XX-XX	2006-08-01	2016-07-26	2635					Vabret,A.,Dina,J.,Mourez,T.,Gouarin,S.,Petitjean,J.,van der Werf,S.,Freymuth,F.	University Hospital of Caen, Laboratory of Virology	France	France	Normandie	Vabret et al.
DQ355405	DQ355405.1	GenBank		DQ355405	Europe		XXXX-XX-XX	2006-08-01	2016-07-26	2656					Vabret,A.,Dina,J.,Mourez,T.,Gouarin,S.,Petitjean,J.,van der Werf,S.,Freymuth,F.	University Hospital of Caen, Laboratory of Virology	France	France	Normandie	Vabret et al.
DQ355406	DQ355406.1	GenBank		DQ355406	Europe		XXXX-XX-XX	2006-08-01	2016-07-26	2656					Vabret,A.,Dina,J.,Mourez,T.,Gouarin,S.,Petitjean,J.,van der Werf,S.,Freymuth,F.	University Hospital of Caen, Laboratory of Virology	France	France	Normandie	Vabret et al.
DQ355407	DQ355407.1	GenBank		DQ355407	Europe		XXXX-XX-XX	2006-08-01	2016-07-26	2650					Vabret,A.,Dina,J.,Mourez,T.,Gouarin,S.,Petitjean,J.,van der Werf,S.,Freymuth,F.	University Hospital of Caen, Laboratory of Virology	France	France	Normandie	Vabret et al.
DQ355408	DQ355408.1	GenBank		DQ355408	Europe		XXXX-XX-XX	2006-08-01	2016-07-26	2650					Vabret,A.,Dina,J.,Mourez,T.,Gouarin,S.,Petitjean,J.,van der Werf,S.,Freymuth,F.	University Hospital of Caen, Laboratory of Virology	France	France	Normandie	Vabret et al.
EF077278	EF077278.1	GenBank		NAT085			2004-10-06	2007-08-23	2007-08-23	420			oronasopharynx		Kistler,A.,Avila,P.C.,Rouskin,S.,Wang,D.,Ward,T.,Yagi,S.,Schnurr,D.,Ganem,D.,DeRisi,J.L.,Boushey,H.A.,Kistler,A.L.,Schnurr,D.P.	UCSF, Howard Hughes Medical Institute, Depts. of Medicine, Biochemistry, and Microbiology	USA			Kistler et al.
EF394298	EF394298.2	GenBank		EF394298	Europe		XXXX-XX-XX	2007-05-18	2016-07-26	419					Papa,A.,Papadimitriou,E.,Luna,L.K.,Al Masri,M.,Souliou,E.,Eboriadou,M.,Antoniadis,A.,Drosten,C.	School of Medicine, Aristotle University of Thessaloniki, A' Dept. of Microbiology	Greece	Greece		Papa et al.
EF394299	EF394299.2	GenBank		EF394299	Europe		XXXX-XX-XX	2007-05-18	2016-07-26	419	Homo sapiens				Papa,A.,Papadimitriou,E.,Luna,L.K.,Al Masri,M.,Souliou,E.,Eboriadou,M.,Antoniadis,A.,Drosten,C.	School of Medicine, Aristotle University of Thessaloniki, A' Dept. of Microbiology	Greece	Greece		Papa et al.
EF507732	EF507732.1	GenBank		EF507732			2005-XX-XX	2008-03-31	2016-07-26	326					Vabret,A.,Dina,J.,Gouarin,S.,Petitjean,J.,Trippey,V.,Brouard,J.,Freymuth,F.	University Hospital of Caen, Virology	France			Vabret et al.
EF507733	EF507733.1	GenBank		EF507733			2005-XX-XX	2008-03-31	2016-07-26	323					Vabret,A.,Dina,J.,Gouarin,S.,Petitjean,J.,Trippey,V.,Brouard,J.,Freymuth,F.	University Hospital of Caen, Virology	France			Vabret et al.
EF507734	EF507734.1	GenBank		EF507734			2005-XX-XX	2008-03-31	2016-07-26	323					Vabret,A.,Dina,J.,Gouarin,S.,Petitjean,J.,Trippey,V.,Brouard,J.,Freymuth,F.	University Hospital of Caen, Virology	France			Vabret et al.
EF507735	EF507735.1	GenBank		EF507735			2005-XX-XX	2008-03-31	2016-07-26	323					Vabret,A.,Dina,J.,Gouarin,S.,Petitjean,J.,Trippey,V.,Brouard,J.,Freymuth,F.	University Hospital of Caen, Virology	France			Vabret et al.
EF507736	EF507736.1	GenBank		EF507736			2005-XX-XX	2008-03-31	2016-07-26	323					Vabret,A.,Dina,J.,Gouarin,S.,Petitjean,J.,Trippey,V.,Brouard,J.,Freymuth,F.	University Hospital of Caen, Virology	France			Vabret et al.
